videoId,query,title,description,publishedAt,channelTitle,viewCount,likeCount,commentCount,duration,viewCount_norm,likeCount_norm,commentCount_norm,virality_score
mn1LHn0FBGI,RHONairobi,Let’s talk everything Rhonairobi! Real Housewives of Nairobi Season 1 Recap,"The ladies of #realhousewivesofnairobi came with lots of drama and shade. This video is a recap of all the episodes of the show.

Video chapters:
Intro: 00:00- 1:18
Major highlights/feuds: 1:18 - 14:39
The cast/casting: 14:39 - 17:19
The negatives: 17:19 - 18:06
The positives: 18:06 - 19:27
Conclusion: 19:27 - 20:16

#rhonairobi #kenyantrends #eastafricasocialtv #nairobifashion #nairobihotgossip #nairobinews 
#realhousewivesofabuja #rhoabuja #showmax #realitytvreviews #realhousewives #bravotv #showmaxkenya #rhonairobireunion #realitytvpodcast #nairobifashion #nairobivlog #kenyanyoutuber #kenyanseries #verasidika #minnecayy #singlekiasi #susankittany #sonalmaherali #sonalsvlogs #realhousewivesofabuja #realhousewivesoflagos 

Join me as I do a recap of this season of #rhodurban and rhoabuja and other real housewives shows.

Subscribe here for more videos: https://youtube.com/@Africanhousewivesphiliac

Follow me on IG here: Follow me on IG https://instagram.com/africanhousewivesphiliac?

Follow me on TikTok here www.tiktok.com/@realiteapearl",2023-06-02T09:28:31Z,RealiTEA Pearl,202,0,3,PT20M17S,0.0011707633724940157,0.0,0.009771986970684038,0.002168256069099015
2T_PLaz1y_Y,RHONairobi,My thoughts on #RHONairobi have you watched it? #shortsafrica #100daysytshorts #RealHouswives,,2023-03-08T09:00:01Z,Chantelle Petit,199,9,0,PT54S,0.0011533757976549958,0.005863192182410423,0.0,0.0021578235241956033
kUtiSeYhtDo,"""Real Housewives of Nairobi""",THE REAL HOUSEWIVES OF NAIROBI CAST 2023 #realhousewivesofnairobi,here's a snippet of the real housewives of Nairobi cast.,2023-02-22T23:38:53Z,Peter Nzeki Tv,286,5,0,PT23S,0.0016576154679865769,0.003257328990228013,0.0,0.0018089015283489496
ll_YoM52RcM,RHONairobi,#RHONairobi cast share their definition of a housewife,"#RHONairobi
Visit our website: https://nairobinews.nation.africa/
Like us on Facebook: https://www.facebook.com/NationNairobi
Follow us on Twitter: https://twitter.com/Nairobi_News",2023-02-23T14:18:10Z,Nairobi News,425,2,0,PT1M51S,0.0024632397688611717,0.0013029315960912053,0.0,0.0018036767603395042
gxORt0i4p0Q,"""Real Housewives of Nairobi""",The Real Housewives of Nairobi | Multichoice Studios,"We follow some of the most affluent women in Kenya, including a beauty queen lawyer, a rally driver, a luxury connoisseur, & a jet-setting socialite, as they enjoy the lavish lifestyle that only Nairobi city can provide.
---
Multichoice Studios presents the best African content for acquisitions to global media buyers. Being the single largest producer of original content on the African Continent, the Multichoice Studios catalogue offers over 40 000 hours of scripted and non-scripted programme types. To view the entire catalogue, go to www.multichoicestudios.com.",2024-07-26T09:19:13Z,Multichoice Studios,375,2,0,PT58S,0.0021734468548775046,0.0013029315960912053,0.0,0.0016298010119493041
vFhTjzJXRXc,RHONairobi,The real housewives of Nairobi trailer - Review and Reaction #rhonairobi #kenya,,2023-02-14T16:35:24Z,MUSHYIA TV,136,1,2,PT1M41S,0.000788236726035575,0.0006514657980456026,0.006514657980456026,0.0016130071822011496
kFhvEDHhbeY,RHONairobi episode,The Real Housewives of Nairobi 🇰🇪Season 1 Episode 1 Review| Drama Galore #RHONairobi,Edited by YouCut:https://youcutapp.page.link/BestEditor,2023-02-24T19:29:19Z,Auntie Meu Jwara,84,2,2,PT3M34S,0.00048685209549256104,0.0013029315960912053,0.006514657980456026,0.001595042853386742
eKmGr58HlnA,"""Real Housewives of Nairobi""",The Real Housewives Of Nairobi,,2023-02-26T11:02:27Z,Jane ngina,196,2,1,PT1M1S,0.0011359882228159756,0.0013029315960912053,0.003257328990228013,0.0014959251812465889
eVGKgY0KkkM,"""Real Housewives Nairobi""",MEET THE NEW WIVES JOINING THE REAL HOUSEWIVES OF NAIROBI FOR SEASON 2 | TRAILER IS SUPER HOT 🔥,MEET THE NEW WIVES JOINING THE REAL HOUSEWIVES OF NAIROBI FOR SEASON 2 | TRAILER IS SUPER HOT 🔥 #therealhousewifeofstandupcomedy ##TheRealHousewivesOfNairobi ##VeraSidika,2024-04-17T19:15:50Z,Dennis Milimo,288,2,0,PT3M4S,0.0016692071845459235,0.0013029315960912053,0.0,0.0013272572097503554
7I-buxRrAak,RHONairobi reunion,Real Housewives of Nairobi Part 1 Reunion| Recap: Minne reads Susan to pieces,"The real housewives of Nairobi are back for their reunion! They came ready with a lot of drama.

Subscribe here for more videos: https://youtube.com/@Africanhousewivesphiliac

Join me as I do a recap of this season of #rhodurban and rhoabuja and other real housewives shows.

Follow me on IG here: Follow me on IG https://instagram.com/africanhousewivesphiliac?

Follow me on TikTok here www.tiktok.com/@realiteapearl


#rhonairobi #realhousewivesofnairobi #kenyantrends #eastafricasocialtv #nairobifashion #nairobihotgossip #nairobinews #realhousewivesofjohannesburg 
#realhousewivesofabuja #rhoabuja #showmax #realitytvreviews #realhousewives #bravotv #showmaxkenya #rhonairobireunion #realitytvpodcast #nairobifashion #nairobivlog #kenyanyoutuber #kenyanseries #verasidika #minnecayy #singlekiasi #susankittany #sonalmaherali #sonalsvlogs #realhousewivesofabuja #realhousewivesoflagos",2023-06-09T16:21:09Z,RealiTEA Pearl,367,0,0,PT11M48S,0.0021270799886401177,0.0,0.0,0.0012762479931840707
pn6Z65JN4X8,"""Real Housewives of Nairobi""",THE REAL HOUSEWIVES OF NAIROBI.           #verasidika #showmax #kenyanmovies,"The Real Housewives of Nairobi will follow five dynamic women as they navigate their lavish lifestyles, relationships and careers in Kenya's capital, Nairobi. These women include Susan Kaittany, Vera Sidika, Sonal Maherali, Minne Kariuki, and Lisa Christoffersen.",2023-05-22T11:12:51Z,KEZYLEY,80,6,0,PT1M26S,0.00046366866237386765,0.003908794788273616,0.0,0.0012553998944927246
l1eYZAZH6Cs,RHONairobi trailer,REAL HOUSEWIVES OF NAIROBI CAST LISA CHRISTOFFERSEN ARRIVES IN A RALLY CAR AT THE LAUNCH,"REAL HOUSEWIVES OF NAIROBI CAST LISA CHRISTOFFERSEN ARRIVES IN A RALLY CAR AT THE LAUNCH
#rhonairobi #lisa",2023-02-23T08:57:16Z,Dennis Milimo,118,4,0,PT4M45S,0.0006839112770014548,0.0026058631921824105,0.0,0.0010618125642464756
1NgnksLBCeg,RHONairobi trailer,THE REAL HOUSEWIVES OF NAIROBI OFFICIAL TRAILER💥💥,,2023-02-23T17:27:27Z,Peter Nzeki Tv,124,3,0,PT52S,0.0007186864266794949,0.001954397394136808,0.0,0.0009198112045418988
R6mEceQ0haw,RHONairobi trailer,Real housewives of Nairobi Official trailer #showmax #trending,OFFICIAL TRAILER REAL HOUSEWIVES OF NAIROBI showmax drama reality realitytv kenya#verasidika #minnekariuki#sonal#susan#lisa,2023-02-23T09:54:57Z,Talia Hadassa,29,2,1,PT43S,0.00016807989011052702,0.0013029315960912053,0.003257328990228013,0.0009151801816233195
oQ0_28pEpZE,RHONairobi episode,"Real Housewives of Nairobi: Episode 12 Recap, Minne accuses Dr Catherine of running escort service","#RHONairobi episode 12 marks the end of the season.
Sonal and Minne try to form a friendship, Susan treats Vera to a free Massage and Dr Catherine continues to defend herself over pimping claims.",2023-05-24T04:48:34Z,Buzz Central Kenya,253,0,0,PT11M47S,0.0014663521447573565,0.0,0.0,0.0008798112868544138
XfJyFoetu7s,RHONairobi,Vera Sidika shares her most vulnerable moments in the RHONairobi show,"Visit our website: https://nairobinews.nation.africa/
Like us on Facebook: https://www.facebook.com/NationNairobi
Follow us on Twitter: https://twitter.com/Nairobi_News",2023-03-07T07:59:08Z,Nairobi News,151,2,0,PT5M1S,0.0008751746002306751,0.0013029315960912053,0.0,0.0008508376591612063
j6WQhVgxzhI,"""Real Housewives of Nairobi""",@showmaxonline @THE REAL HOUSEWIVES OF NAIROBI.. VLOG #youtubeshorts #trendingshorts #lunch,,2023-03-29T19:16:56Z,PIKA NA DENNIS 👨‍🍳,232,0,0,PT16S,0.0013446391208842162,0.0,0.0,0.0008067834725305297
84oIUvPP9so,RHONairobi episode,"Real Housewives of Nairobi: Episode 11 Recap, Lisa and Minne fight, Dr Catherine to hook up Susan","#RHONairobi 
Ladies go for yoga, Dr Catherine promises to hook up Susan with a rich man.
Minne and Lisa figh and Susan celebrated 40th birthday in style.",2023-05-11T05:05:53Z,Buzz Central Kenya,170,1,0,PT11M52S,0.0009852959075444688,0.0006514657980456026,0.0,0.0007540439940380819
Ah3p8XuAZXY,RHONairobi episode,"RHONairobi Episode 7: Sonal Mental Health, Minne Attacks Sonal And Vera For Gossip.","After successful editions in Durban, Johannesburg, Cape Town, Lagos, and Abuja, the popular reality franchise The Real Housewives is finally coming to East Africa. The streaming service Showmax will air The Real Housewives of Nairobi on February 23, marking a potentially lucrative move for the platform as it expands the show's reach to different African countries and sets the stage for future seasons.

Fans of the show can expect to be entertained by the drama-filled lives of five Kenyan women drawn from media, entertainment, and entrepreneurship. As they orchestrate their own dynamic, they will follow the through-line and cues that have made the show such an obsessive watch.

Prduced by D&R Studios, this East African iteration is part of The Real Housewives franchise licensed as a format by NBCUniversal Formats. Get ready to be captivated by the cast members who are sure to hold our attention for weeks to come.

subscribe: https://youtube.com/@thegistwithloba_

Watch Episode 6: https://youtu.be/EifhdjWsGOc
Watch Episode 5: https://youtu.be/QYrvufBKfqg",2023-04-07T22:50:16Z,The Gist With Loba,101,2,0,PT8M45S,0.0005853816862470078,0.0013029315960912053,0.0,0.0006769619107710059
HDTbRhaFGJI,RHONairobi,we all need friends like these ☺️ #WhatToWatch #RHONairobi,,2023-04-13T07:53:22Z,TikTok Africa Official,121,1,0,PT41S,0.0007012988518404748,0.0006514657980456026,0.0,0.0005836457606156855
CySOoVdN8vc,"""Real Housewives of Nairobi""",The Real Housewives of Nairobi ( RHON) ep2,,2023-03-03T05:01:42Z,florence mwangi,97,1,0,PT48S,0.0005621982531283145,0.0006514657980456026,0.0,0.0005001854013883893
nfO8QLYMBgo,RHONairobi episode,was that a witchcraft brunch? or am I tripping? Watch the full episode #rhonairobi #rhon,,2023-04-17T18:15:07Z,Plus Wanga Princess (Sarah Mukabana),114,0,0,PT28S,0.0006607278438827614,0.0,0.0,0.00039643670632965683
JKRD1MXOw0I,RHONairobi,Get To Know The Cast Of Real Housewives Of Nairobi #youtube #rhonairobi #short,@bahatikenya @sautisol,2023-04-14T21:41:58Z,The Glam,25,1,0,PT2M30S,0.00014489645699183363,0.0006514657980456026,0.0,0.00024980432370650085
pBkmaB5p6Ik,"""Real Housewives of Nairobi""",THE REAL HOUSEWIVES OF NAIROBI BANNED,,2024-07-08T01:41:08Z,kenya news,40,0,0,PT57S,0.00023183433118693382,0.0,0.0,0.0001391005987121603
