author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,text,language
@somyasharma2602,Made in heaven is something different. .6 baar dekhke bhi new lagta hai ..humesha,114,https://www.youtube.com/watch?v=QKQJvnnl32w,0,A Made In Heaven Baraat | Made In Heaven S2 | Prime Video India,comment,0,made in heaven is something different. .6 baar dekhke bhi new lagta hai ..humesha,made in heaven is something different. .6 baar dekhke bhi new lagta hai ..humesha,Hinglish
@advocatevarunrathi2831,"Marriage show ke naam par gay sex aur lust ko badawa.
Kya hoga hindu samaj ka?",2,https://www.youtube.com/watch?v=VWc4B3cgxxk,0,The Wedding Chaos | Made In Heaven S2 | #primevideoindia,comment,1,marriage show ke naam par gay sex aur lust ko badawa. kya hoga hindu samaj ka?,marriage show ke naam par gay sex aur lust ko badawa. kya hoga hindu samaj ka?,Hinglish
@sheetaldabhade3864,"Aare hame to ye pahele se hi baata hai 
Tuze kya laga ham agal hai kya ",2,https://www.youtube.com/watch?v=VWc4B3cgxxk,0,The Wedding Chaos | Made In Heaven S2 | #primevideoindia,comment,0,aare hame to ye pahele se hi baata hai tuze kya laga ham agal hai kya,aare hame to ye pahele se hi baata hai tuze kya laga ham agal hai kya,Hinglish
@firesign4297,"Love Love Love!!! ..Your! Reviews  (Smile)....

Stevie!!!...is...SHALLOW!!!..as Hell!...McKenzie. ..Opened her truth!  up to him...and I knew!..
he was going to send that Beautiful! !! Sista!..home....when he stated on the date reply part....

""I just wonder will she..Revert! ..
back to that size"" !....

Can we alllll...Say....SHALLOW HAL/STEVIE!!!!....
sad just!..sad!...
he was..""Fat"" Shaming!....

and we all know why the other one...family! didn't  come...they don't want know!...""SWIRL"" !...aka...MIXING!!!!..
in the Family!!!!..

Sad Sad Sad!

Again..
Love !!!!..Your Reviews!...",80,https://www.youtube.com/watch?v=8fsgAHxeeCk,1,match made in heaven season 2 episode 6 mother of all surprises review,comment,1,"love love love!!! ..your! reviews (smile).... stevie!!!...is...shallow!!!..as hell!...mckenzie. ..opened her truth! up to him...and i knew!.. he was going to send that beautiful! !! sista!..home....when he stated on the date reply part.... ""i just wonder will she..revert! .. back to that size"" !.... can we alllll...say....shallow hal/stevie!!!!.... sad just!..sad!... he was..""fat"" shaming!.... and we all know why the other one...family! didn't come...they don't want know!...""swirl"" !...aka...mixing!!!!.. in the family!!!!.. sad sad sad! again.. love !!!!..your reviews!...","love love love!!! ..your! reviews (smile).... stevie!!!...is...shallow!!!..as hell!...mckenzie. ..opened her truth! up to him...and i knew!.. he was going to send that beautiful! !! sista!..home....when he stated on the date reply part.... ""i just wonder will she..revert! .. back to that size"" !.... can we alllll...say....shallow hal/stevie!!!!.... sad just!..sad!... he was..""fat"" shaming!.... and we all know why the other one...family! didn't come...they don't want know!...""swirl"" !...aka...mixing!!!!.. in the family!!!!.. sad sad sad! again.. love !!!!..your reviews!...",Hinglish
@annjohn6969,I really don't agree with the review. I agree there are many aspects of wedding and social relations loading up in each episode and it might feel bombarded. But the directors have really made the aesthetic balance required for each situation. It truly takes a genius! Many of the marital relations are personal and in real life it can feel prolonged but the creators have taken the fast pace but also given each moment it's due respect. Loved every bit of it!!,118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,reply,3,i really don't agree with the review. i agree there are many aspects of wedding and social relations loading up in each episode and it might feel bombarded. but the directors have really made the aesthetic balance required for each situation. it truly takes a genius! many of the marital relations are personal and in real life it can feel prolonged but the creators have taken the fast pace but also given each moment it's due respect. loved every bit of it!!,i really don't agree with the review. i agree there are many aspects of wedding and social relations loading up in each episode and it might feel bombarded. but the directors have really made the aesthetic balance required for each situation. it truly takes a genius! many of the marital relations are personal and in real life it can feel prolonged but the creators have taken the fast pace but also given each moment it's due respect. loved every bit of it!!,Hinglish
@henrypal3656,"There were very very few moments in this season I genuinely liked...for the most part I just felt lectured, lectured and LECTURED OMYYGODDD IT WAS EXASPERATING. I was literally exhausted from all the preaching. Nothing compared to how deliciously fun and exciting the first season first. Just felt like a checklist of agendas and issues addressed in the broadest and bluntest way possible. We're not that dumb that we don't understand the difference between subtle storytelling and being bludgeoned on the head with message after message..really disappointed",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,reply,3,"there were very very few moments in this season i genuinely liked...for the most part i just felt lectured, lectured and lectured omyygoddd it was exasperating. i was literally exhausted from all the preaching. nothing compared to how deliciously fun and exciting the first season first. just felt like a checklist of agendas and issues addressed in the broadest and bluntest way possible. we're not that dumb that we don't understand the difference between subtle storytelling and being bludgeoned on the head with message after message..really disappointed","there were very very few moments in this season i genuinely liked...for the most part i just felt lectured, lectured and lectured omyygoddd it was exasperating. i was literally exhausted from all the preaching. nothing compared to how deliciously fun and exciting the first season first. just felt like a checklist of agendas and issues addressed in the broadest and bluntest way possible. we're not that dumb that we don't understand the difference between subtle storytelling and being bludgeoned on the head with message after message..really disappointed",Hinglish
@shashnksharma2840,"This season of Made in Heaven is a big let down for so many reasons and on so many levels.  Firstly, its mostly in English language... speaking in English among themselves  already makes indians a bigtime laughing  stock in front of the foreigners,  the obsession of filmmakers to keep Hindi dialogues to minimum  was sooo sooo  annoying  that after a point it started feeling so artificial... forced and plastic... if i have to watch an english series, I would  rather watch something original  by native english speakers... instead of watching  these brown  skinned yet white wannabee high society  morons in india (sorry for sounding racist, but english speaking indians are infact so  annoying... one should know english but not flaunt it everywhere...!!! Bollywood Nepos... learn something  from West... they laugh at u when u speak  in english among yourselves)... Secondly,  all the issues raised in the series appeared so forced, and nothing was organic... The first season was much better in that respect... here, even issues like  sexuality, introduction of a trans-gender character  without any depth, caste issues without any depth... seemed very shallow... this show neither qualifies  as fantastical as GoT or House of Dragons... nor it seems in the totally realistic   zone ..... its basically a khichdi made to tick all boxes... to project themselves as woke and progressive... but the truth is that the story has no soul... when will indian filmmakers learn from series like  Better Call Saul, Breaking Bad, succession,  White Lotus, Only murders in the building, Komisky Method... that there is a lot beyond just making statements without any soul..  no character development... nothing..  a big thumbs down!!!",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,reply,0,"this season of made in heaven is a big let down for so many reasons and on so many levels. firstly, its mostly in english language... speaking in english among themselves already makes indians a bigtime laughing stock in front of the foreigners, the obsession of filmmakers to keep hindi dialogues to minimum was sooo sooo annoying that after a point it started feeling so artificial... forced and plastic... if i have to watch an english series, i would rather watch something original by native english speakers... instead of watching these brown skinned yet white wannabee high society morons in india (sorry for sounding racist, but english speaking indians are infact so annoying... one should know english but not flaunt it everywhere...!!! bollywood nepos... learn something from west... they laugh at u when u speak in english among yourselves)... secondly, all the issues raised in the series appeared so forced, and nothing was organic... the first season was much better in that respect... here, even issues like sexuality, introduction of a trans-gender character without any depth, caste issues without any depth... seemed very shallow... this show neither qualifies as fantastical as got or house of dragons... nor it seems in the totally realistic zone ..... its basically a khichdi made to tick all boxes... to project themselves as woke and progressive... but the truth is that the story has no soul... when will indian filmmakers learn from series like better call saul, breaking bad, succession, white lotus, only murders in the building, komisky method... that there is a lot beyond just making statements without any soul.. no character development... nothing.. a big thumbs down!!!","this season of made in heaven is a big let down for so many reasons and on so many levels. firstly, its mostly in english language... speaking in english among themselves already makes indians a bigtime laughing stock in front of the foreigners, the obsession of filmmakers to keep hindi dialogues to minimum was sooo sooo annoying that after a point it started feeling so artificial... forced and plastic... if i have to watch an english series, i would rather watch something original by native english speakers... instead of watching these brown skinned yet white wannabee high society morons in india (sorry for sounding racist, but english speaking indians are infact so annoying... one should know english but not flaunt it everywhere...!!! bollywood nepos... learn something from west... they laugh at u when u speak in english among yourselves)... secondly, all the issues raised in the series appeared so forced, and nothing was organic... the first season was much better in that respect... here, even issues like sexuality, introduction of a trans-gender character without any depth, caste issues without any depth... seemed very shallow... this show neither qualifies as fantastical as got or house of dragons... nor it seems in the totally realistic zone ..... its basically a khichdi made to tick all boxes... to project themselves as woke and progressive... but the truth is that the story has no soul... when will indian filmmakers learn from series like better call saul, breaking bad, succession, white lotus, only murders in the building, komisky method... that there is a lot beyond just making statements without any soul.. no character development... nothing.. a big thumbs down!!!",Hinglish
@Thfdeukbcsigdb,"Ye Marathi Buddhist wedding hai ,dalit wedding to hindu wedding  hai",10,https://www.youtube.com/watch?v=qucgu36_IAk,2,"Made In Heaven Season 2 Explained In Hindi | Episode 5, 6 & 7 Explained | Movies With Shoaib",comment,7,"ye marathi buddhist wedding hai ,dalit wedding to hindu wedding hai","ye marathi buddhist wedding hai ,dalit wedding to hindu wedding hai",Hinglish
@user-yv6eo7io8s,"Bhai aage ki video?
You have hooked us to your work.",10,https://www.youtube.com/watch?v=qucgu36_IAk,1,"Made In Heaven Season 2 Explained In Hindi | Episode 5, 6 & 7 Explained | Movies With Shoaib",comment,3,bhai aage ki video? you have hooked us to your work.,bhai aage ki video? you have hooked us to your work.,Hinglish
@edgefanCWC,"Check out made in heaven s2e4 ... Has an Anurag Kashyap cameo :) and is legit based on Salman and Katrina, Isabella Kaif and others 

S2e1 was the strongest though tbh..

Vijay Raaz + new additions Mona Singh and Trinetra r the true stars of s2 though. The originals like Sobhita, Jim had very repetitive slow development sadly.",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,2,"check out made in heaven s2e4 ... has an anurag kashyap cameo :) and is legit based on salman and katrina, isabella kaif and others s2e1 was the strongest though tbh.. vijay raaz + new additions mona singh and trinetra r the true stars of s2 though. the originals like sobhita, jim had very repetitive slow development sadly.","check out made in heaven s2e4 ... has an anurag kashyap cameo :) and is legit based on salman and katrina, isabella kaif and others s2e1 was the strongest though tbh.. vijay raaz + new additions mona singh and trinetra r the true stars of s2 though. the originals like sobhita, jim had very repetitive slow development sadly.",Hinglish
@2pac1307,11:06 You'll have to agree that the word 'progressive' is more modern & freeing than the word 'western'.,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,2,11:06 you'll have to agree that the word 'progressive' is more modern & freeing than the word 'western'.,11:06 you'll have to agree that the word 'progressive' is more modern & freeing than the word 'western'.,Hinglish
@rushabhshah.2768,"gay marriage is not legal in india only gay $ e  x is legal. only middle class people or  s  h  a llow people or not so educated people are obsessed with fair white skin or don't like a dark skin. There can be a possibility that even rich people have poor m entality like seen in dil dhadkne do, that the clothes are crazy expensive but the mentality is w orse than village people like not treating girl child equally as man child etc etc.",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,2,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,3,"gay marriage is not legal in india only gay $ e x is legal. only middle class people or s h a llow people or not so educated people are obsessed with fair white skin or don't like a dark skin. there can be a possibility that even rich people have poor m entality like seen in dil dhadkne do, that the clothes are crazy expensive but the mentality is w orse than village people like not treating girl child equally as man child etc etc.","gay marriage is not legal in india only gay $ e x is legal. only middle class people or s h a llow people or not so educated people are obsessed with fair white skin or don't like a dark skin. there can be a possibility that even rich people have poor m entality like seen in dil dhadkne do, that the clothes are crazy expensive but the mentality is w orse than village people like not treating girl child equally as man child etc etc.",Hinglish
@rohitagarwal5427,"Indians in the comment section got offended when Achars says ""the characters are western in their thinking"". Indians love blaming Westerners for every wrong in their society but would not even acknowledge that LGBT rights is a western movement which we need to thank them for even discussing about it. How long we are gonna blame Britishers for our homophobia (which btw Britishers have come along way back) and Indians still stuck at ""oh, its the Britishers who criminalized"". No dude, just accept the fact that Indians are largely homophobic and even 50 years down the line, Indians will hardly learn and when a westerner will talk about India's homophobia, we'll  be quick to blame Britishers as if it solves the problem",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,2,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,8,"indians in the comment section got offended when achars says ""the characters are western in their thinking"". indians love blaming westerners for every wrong in their society but would not even acknowledge that lgbt rights is a western movement which we need to thank them for even discussing about it. how long we are gonna blame britishers for our homophobia (which btw britishers have come along way back) and indians still stuck at ""oh, its the britishers who criminalized"". no dude, just accept the fact that indians are largely homophobic and even 50 years down the line, indians will hardly learn and when a westerner will talk about india's homophobia, we'll be quick to blame britishers as if it solves the problem","indians in the comment section got offended when achars says ""the characters are western in their thinking"". indians love blaming westerners for every wrong in their society but would not even acknowledge that lgbt rights is a western movement which we need to thank them for even discussing about it. how long we are gonna blame britishers for our homophobia (which btw britishers have come along way back) and indians still stuck at ""oh, its the britishers who criminalized"". no dude, just accept the fact that indians are largely homophobic and even 50 years down the line, indians will hardly learn and when a westerner will talk about india's homophobia, we'll be quick to blame britishers as if it solves the problem",Hinglish
@shreyabhosale1787,So excited for Neeraj Ghaywan (I'm assuming) doing the Buddhist weddings storyline with Radhika Apte. This is one segment of society that is almost always never shown in mainstream film/TV. Very intrigued to see how they navigate it and that they will do it justice. Means a lot for representation.,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,29,so excited for neeraj ghaywan (i'm assuming) doing the buddhist weddings storyline with radhika apte. this is one segment of society that is almost always never shown in mainstream film/tv. very intrigued to see how they navigate it and that they will do it justice. means a lot for representation.,so excited for neeraj ghaywan (i'm assuming) doing the buddhist weddings storyline with radhika apte. this is one segment of society that is almost always never shown in mainstream film/tv. very intrigued to see how they navigate it and that they will do it justice. means a lot for representation.,Hinglish
@pacifist2879,"you guys are reacting to the trailer of season 1, :P",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,1,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,0,"you guys are reacting to the trailer of season 1, :p","you guys are reacting to the trailer of season 1, :p",Hinglish
@Dee-zy5gh,"Karan's character is actually bang on. You need more gay friends to understand how lost and fucked up gay people can be, thanks to the trauma that society makes them grow up with. I say this as gay man.",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,reply,0,"karan's character is actually bang on. you need more gay friends to understand how lost and fucked up gay people can be, thanks to the trauma that society makes them grow up with. i say this as gay man.","karan's character is actually bang on. you need more gay friends to understand how lost and fucked up gay people can be, thanks to the trauma that society makes them grow up with. i say this as gay man.",Hinglish
@sidharth97,"What Zoya has been trying to say in both Dil Dhadakne Do and Made in Heaven is that a discriminatory/backward mindset is not limited to poorer or rural people, it can be the mindset of rich, urban people as well. And trying to shine a light on it",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,reply,2,"what zoya has been trying to say in both dil dhadakne do and made in heaven is that a discriminatory/backward mindset is not limited to poorer or rural people, it can be the mindset of rich, urban people as well. and trying to shine a light on it","what zoya has been trying to say in both dil dhadakne do and made in heaven is that a discriminatory/backward mindset is not limited to poorer or rural people, it can be the mindset of rich, urban people as well. and trying to shine a light on it",Hinglish
@san1andreas,+Tia  Wessells you can tell his mom don't know how to act since she got a camera in front of her face always showing her behind and I'm sure it wasn't about a company cause we saw her running it behind the scenes I think they think he is up to no good and didn't won't to bother coming to it,80,https://www.youtube.com/watch?v=8fsgAHxeeCk,0,match made in heaven season 2 episode 6 mother of all surprises review,reply,1,+tia wessells you can tell his mom don't know how to act since she got a camera in front of her face always showing her behind and i'm sure it wasn't about a company cause we saw her running it behind the scenes i think they think he is up to no good and didn't won't to bother coming to it,+tia wessells you can tell his mom don't know how to act since she got a camera in front of her face always showing her behind and i'm sure it wasn't about a company cause we saw her running it behind the scenes i think they think he is up to no good and didn't won't to bother coming to it,Hinglish
@Tiajones333,Andre Epps I think the same too I think they said that in a interview with Wendt Williams when they was promoting the show I like talking to you,80,https://www.youtube.com/watch?v=8fsgAHxeeCk,0,match made in heaven season 2 episode 6 mother of all surprises review,reply,2,andre epps i think the same too i think they said that in a interview with wendt williams when they was promoting the show i like talking to you,andre epps i think the same too i think they said that in a interview with wendt williams when they was promoting the show i like talking to you,Hinglish
@san1andreas,"+Tia  Wessells thank and I like talking to you also I think the show
Is fake for the most part but it's so good that you don't won't to stop watching it",80,https://www.youtube.com/watch?v=8fsgAHxeeCk,0,match made in heaven season 2 episode 6 mother of all surprises review,reply,0,+tia wessells thank and i like talking to you also i think the show is fake for the most part but it's so good that you don't won't to stop watching it,+tia wessells thank and i like talking to you also i think the show is fake for the most part but it's so good that you don't won't to stop watching it,Hinglish
@payalalam8738,"Meher is much better than most of people around us. She is smart, sensitive, adventurous, hard working, ambitious always exploring inspite of the hardship, truthful, always standing up for equality and against any discrimination. ❤",8,https://www.youtube.com/watch?v=BI3MCOdj3Bw,1,"One Life, One Meher | Made In Heaven Season 2 | Trinetra Haldar Gummaraju | #primevideoindia",comment,36,"meher is much better than most of people around us. she is smart, sensitive, adventurous, hard working, ambitious always exploring inspite of the hardship, truthful, always standing up for equality and against any discrimination. ❤","meher is much better than most of people around us. she is smart, sensitive, adventurous, hard working, ambitious always exploring inspite of the hardship, truthful, always standing up for equality and against any discrimination. ❤",Hinglish
@twitchbully5652,Meher nahi kuku hai ye,8,https://www.youtube.com/watch?v=BI3MCOdj3Bw,0,"One Life, One Meher | Made In Heaven Season 2 | Trinetra Haldar Gummaraju | #primevideoindia",comment,1,meher nahi kuku hai ye,meher nahi kuku hai ye,Hinglish
@msf...4707,Wo sub thik hai.... Mirzapur kab aarahi hai,114,https://www.youtube.com/watch?v=QKQJvnnl32w,0,A Made In Heaven Baraat | Made In Heaven S2 | Prime Video India,comment,0,wo sub thik hai.... mirzapur kab aarahi hai,wo sub thik hai.... mirzapur kab aarahi hai,Hinglish
