author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,classification,themes,sentiment,LLM Emotions (parsed),LLM Emotions Confidence,text,language
@kabirsingh9028, @vishakhaarya7703  are you afraid of in laws ? Poor sissy .,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,@vishakhaarya7703 are you afraid of in laws ? poor sissy .,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Contempt, Disgust",Medium,@vishakhaarya7703 are you afraid of in laws ? poor sissy .,English
@funvideos1302, @abcsin6526  I wish you go through all the hardships a dalit faces in our country.,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,@abcsin6526 i wish you go through all the hardships a dalit faces in our country.,"{
  ""themes"": [""Caste / Intersectional"", ""Gender-Based Violence""],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,Gender-Based Violence",Negative,"Anger, Contempt",Medium,@abcsin6526 i wish you go through all the hardships a dalit faces in our country.,English
@poojadaksh7572,My friend faced same situation she is also from a Punjabi family ,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,5,my friend faced same situation she is also from a punjabi family,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,No emotion,High,my friend faced same situation she is also from a punjabi family,English
@sailimanvel9500,this really hit hard.... it really feels bad to leave parents in such a situation.... as a girl... we always feel so much for our parents.... apne ko koi kbhi ni chodhta...,359,https://www.youtube.com/watch?v=pytCSxxDvM8,1,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,32,this really hit hard.... it really feels bad to leave parents in such a situation.... as a girl... we always feel so much for our parents.... apne ko koi kbhi ni chodhta...,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Emotional States""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Emotional States",Negative,"Compassion, Sadness",Medium,this really hit hard.... it really feels bad to leave parents in such a situation.... as a girl... we always feel so much for our parents.... apne ko koi kbhi ni chodhta...,English
@pujalabhi4659,"Y where whites on wedding 
U have ur whiole life for it 
Appear like a bride on ur big day 
Ohh but this is not applicable for 2 marriages one for  PR and other for pyar",21,https://www.youtube.com/watch?v=wxfvT3Hm1uk,2,"Made In Heaven Season 2|Wedding Scene| Radhika Apte,Shivani Raghuvanshi,ArjunMathur,Kalki, Shashank",comment,3,y where whites on wedding u have ur whiole life for it appear like a bride on ur big day ohh but this is not applicable for 2 marriages one for pr and other for pyar,"{
  ""themes"": [""Body & Beauty Standards"", ""India Local Culture""],
  ""sentiment"": ""Neutral""
}","Body & Beauty Standards,India Local Culture",Neutral,"Contempt, Disgust",High,y where whites on wedding u have ur whiole life for it appear like a bride on ur big day ohh but this is not applicable for 2 marriages one for pr and other for pyar,English
@tanuja1986,This was so on point. Unlike last time this season's weddings didn't feel anything. The dalit wedding was interesting. This season just felt like collaboration between various brands and actors. Bleh bland. Bulbulji was the only character which had my interest and yes even the adil-faiza relationship was more welcome than Tara and Karan's story. ,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,this was so on point. unlike last time this season's weddings didn't feel anything. the dalit wedding was interesting. this season just felt like collaboration between various brands and actors. bleh bland. bulbulji was the only character which had my interest and yes even the adil-faiza relationship was more welcome than tara and karan's story.,"{
  ""themes"": [
    ""Caste / Intersectional"",
    ""India Local Culture""
  ],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,India Local Culture",Negative,"Anger, Disgust",Medium,this was so on point. unlike last time this season's weddings didn't feel anything. the dalit wedding was interesting. this season just felt like collaboration between various brands and actors. bleh bland. bulbulji was the only character which had my interest and yes even the adil-faiza relationship was more welcome than tara and karan's story.,English
@dds6234,"​ @AnkitSingh-qb8iy 
Then boy also  don't stay with his parents at his home. Both stay in new home earn, bring dowry from boy side. Then take care of boy parents. 
O else simple.. boys also don't marry...!!

Y boys so selfish that they want to take  bride to their for their sake only.. such selfish shameess men. They gt burner if girl want to take care of her parents..",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,"​ @ankitsingh-qb8iy then boy also don't stay with his parents at his home. both stay in new home earn, bring dowry from boy side. then take care of boy parents. o else simple.. boys also don't marry...!! y boys so selfish that they want to take bride to their for their sake only.. such selfish shameess men. they gt burner if girl want to take care of her parents..","```json
{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}
```","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Contempt, Shame",High,"​ @ankitsingh-qb8iy then boy also don't stay with his parents at his home. both stay in new home earn, bring dowry from boy side. then take care of boy parents. o else simple.. boys also don't marry...!! y boys so selfish that they want to take bride to their for their sake only.. such selfish shameess men. they gt burner if girl want to take care of her parents..",English
@vikasparashar9145,Kul milakar pura humare samaaj me jo nh hota h wo sab h is show me.....wahyaat.,125,https://www.youtube.com/watch?v=dg40ww15xSM,0,"Made In Heaven Season 2 review | Arjun Mathur, Sobhita Dhulipala, Jim Sarbh | Honest Review | MensXP",comment,0,kul milakar pura humare samaaj me jo nh hota h wo sab h is show me.....wahyaat.,"```json
{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Negative""
}
```",India Local Culture,Negative,"Contempt, Disgust",Medium,kul milakar pura humare samaaj me jo nh hota h wo sab h is show me.....wahyaat.,English
@khursheedrind3232,Neelam kothari ❤ is all love we need a separate series for her and her journey similar to aarya and breaking bad ❤ 1:31,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,9,neelam kothari ❤ is all love we need a separate series for her and her journey similar to aarya and breaking bad ❤ 1:31,"{
  ""themes"": [],
  ""sentiment"": ""Positive""
}",,Positive,"Compassion, Pride",Medium,neelam kothari ❤ is all love we need a separate series for her and her journey similar to aarya and breaking bad ❤ 1:31,English
@Sarkari_vlogger,This situation is hardly faced by any women in India. No parents rich or poor want their girl to remain unmarried.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,1,this situation is hardly faced by any women in india. no parents rich or poor want their girl to remain unmarried.,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Disgust, Sadness",Medium,this situation is hardly faced by any women in india. no parents rich or poor want their girl to remain unmarried.,English
@shalakabajaj473,Sachme gareeb feel hua ,125,https://www.youtube.com/watch?v=dg40ww15xSM,0,"Made In Heaven Season 2 review | Arjun Mathur, Sobhita Dhulipala, Jim Sarbh | Honest Review | MensXP",comment,0,sachme gareeb feel hua,"{
  ""themes"": [""Economic Empowerment""],
  ""sentiment"": ""Negative""
}",Economic Empowerment,Negative,Sadness,High,sachme gareeb feel hua,English
@Kamakhya_1,this series is very related ro present generation marriages..its hurts a lot,16,https://www.youtube.com/watch?v=vnm6mH4Dbnc,0,"Strong Stories, Stronger Brides | Made In Heaven S2 #primevideoindia",comment,7,this series is very related ro present generation marriages..its hurts a lot,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Emotional States""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Emotional States",Negative,Sadness,High,this series is very related ro present generation marriages..its hurts a lot,English
@paramgyanireaction3547,IND high society is vulgar like Bollywood ekta Kapoor ,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,0,ind high society is vulgar like bollywood ekta kapoor,"{
  ""themes"": [""India Local Culture"", ""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}","India Local Culture,Body & Beauty Standards",Negative,"Contempt, Disgust",Medium,ind high society is vulgar like bollywood ekta kapoor,English
@manaaaa1069,"Heroine to koi natural beauty wali ly lety 
OMG directors should notice k actress ny khud full face procedures krway huy and still she is giving gyaaan 

You don’t need all this 
Only I need all this ",239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,0,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,0,heroine to koi natural beauty wali ly lety omg directors should notice k actress ny khud full face procedures krway huy and still she is giving gyaaan you don’t need all this only i need all this,"{
  ""themes"": [""Body & Beauty Standards"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","Body & Beauty Standards,Gender Norms & Dynamics",Negative,"Contempt, Disgust",Medium,heroine to koi natural beauty wali ly lety omg directors should notice k actress ny khud full face procedures krway huy and still she is giving gyaaan you don’t need all this only i need all this,English
@AGTECHX22,"Aunty is right  honestly , Indian version of were women say I can’t find good guys and probably running after fu@k boys or toxic ones, when they reach the wall then it’s wrap ",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,0,"aunty is right honestly , indian version of were women say i can’t find good guys and probably running after fu@k boys or toxic ones, when they reach the wall then it’s wrap","{
  ""themes"": [""Gender Norms & Dynamics"", ""Emotional States""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Emotional States",Negative,"Contempt, Disgust",Medium,"aunty is right honestly , indian version of were women say i can’t find good guys and probably running after fu@k boys or toxic ones, when they reach the wall then it’s wrap",English
@vishakhaarya7703, @ManishGupta-wb2wc  yes it is.. parents will single girl child alone after her marriage.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,@manishgupta-wb2wc yes it is.. parents will single girl child alone after her marriage.,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,Sadness,High,@manishgupta-wb2wc yes it is.. parents will single girl child alone after her marriage.,English
@spellcheck5393,"Thank God she stood for herself.
I thought she will bend to their will like the DV bride",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,thank god she stood for herself. i thought she will bend to their will like the dv bride,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Gender-Based Violence""],
  ""sentiment"": ""Positive""
}","Gender Norms & Dynamics,Gender-Based Violence",Positive,"Contempt, Pride",Medium,thank god she stood for herself. i thought she will bend to their will like the dv bride,English
@shradhasanskriti4941,Please karolina goswami wedding video pain and shock ❤,55,https://www.youtube.com/watch?v=RepGi_pLkA4,0,Made in Heaven Season 2 - Official Trailer | REACTION!!!!,comment,1,please karolina goswami wedding video pain and shock ❤,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,"Compassion, Sadness",Medium,please karolina goswami wedding video pain and shock ❤,English
@India_first-k6n,"Their wedding only went really well at the end. And it was so true with dialogues there. That episode told us that in India we have caste problem but outside India, we have ethnicity problem which her character faced after going to America.",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,0,"their wedding only went really well at the end. and it was so true with dialogues there. that episode told us that in india we have caste problem but outside india, we have ethnicity problem which her character faced after going to america.","{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,"Compassion, Sadness",Medium,"their wedding only went really well at the end. and it was so true with dialogues there. that episode told us that in india we have caste problem but outside india, we have ethnicity problem which her character faced after going to america.",English
@vasudhaacharya9242,Why should govt interference is needed our daughter will be ours for ever married or not. Change our thinking.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,104,why should govt interference is needed our daughter will be ours for ever married or not. change our thinking.,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,Contempt,High,why should govt interference is needed our daughter will be ours for ever married or not. change our thinking.,English
@jonron3805, @sadeqaghazal2571  Girls sacrificing life is there but parents preventing her from getting married is not that common.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,10,@sadeqaghazal2571 girls sacrificing life is there but parents preventing her from getting married is not that common.,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}","Gender Norms & Dynamics,Caste / Intersectional",Neutral,Contempt,High,@sadeqaghazal2571 girls sacrificing life is there but parents preventing her from getting married is not that common.,English
@bitcoearn3288,Bollywoodia bhaand woke mindset Promoting LGBT ️‍ agendaa that’s why boycott ,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,2,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Anger, Contempt, Disgust",Medium,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott,English
@sakshishinde629,"its okay to say dalit, there is nothing bad in that, lets normalise being a dalit",22,https://www.youtube.com/watch?v=hZQP6lprcYE,0,Made In Heaven Season 2 Explained In Hindi | Made In Heaven Season 2 All Episodes Explained In Hindi,reply,7,"its okay to say dalit, there is nothing bad in that, lets normalise being a dalit","{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Positive""
}",Caste / Intersectional,Positive,"Compassion, Pride",Medium,"its okay to say dalit, there is nothing bad in that, lets normalise being a dalit",English
@MansiJain-gs7lx,"​ @ashishranjan9303 hire a cook, hire a caretaker for your parents, hire a nanny for your children, hire a laundryman, don't demand dowry, dont take your sister's share of property,buy your own House AND then say that she lives in your house for ""free"".",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,6,"​ @ashishranjan9303 hire a cook, hire a caretaker for your parents, hire a nanny for your children, hire a laundryman, don't demand dowry, dont take your sister's share of property,buy your own house and then say that she lives in your house for ""free"".","```json
{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}
```","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Contempt, Disgust",Medium,"​ @ashishranjan9303 hire a cook, hire a caretaker for your parents, hire a nanny for your children, hire a laundryman, don't demand dowry, dont take your sister's share of property,buy your own house and then say that she lives in your house for ""free"".",English
@wowser2153,"@Nonename2023 they should have shown she did not marry him in the first place. She was miss india , upcoming movie star, had a very supportive father and still married someone who broke her tooth and scarred her face. Shameful.",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,4,"@nonename2023 they should have shown she did not marry him in the first place. she was miss india , upcoming movie star, had a very supportive father and still married someone who broke her tooth and scarred her face. shameful.","{
  ""themes"": [
    ""Gender-Based Violence"",
    ""Body & Beauty Standards""
  ],
  ""sentiment"": ""Negative""
}","Gender-Based Violence,Body & Beauty Standards",Negative,"Disgust, Shame",Medium,"@nonename2023 they should have shown she did not marry him in the first place. she was miss india , upcoming movie star, had a very supportive father and still married someone who broke her tooth and scarred her face. shameful.",English
@ananyapramanick5325,​ @deepanshu17200  but isn't it almost compulsory in the society,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,​ @deepanshu17200 but isn't it almost compulsory in the society,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Neutral""
}",Gender Norms & Dynamics,Neutral,Contempt,High,​ @deepanshu17200 but isn't it almost compulsory in the society,English
@nasirshaikh8562,"​ @dolidevdutt5530 in India parents praying for boys, why they are thinking when they become older that time they will take care for them, you are telling our wife should take care there parents  ",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,1,"​ @dolidevdutt5530 in india parents praying for boys, why they are thinking when they become older that time they will take care for them, you are telling our wife should take care there parents","{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Disgust",Medium,"​ @dolidevdutt5530 in india parents praying for boys, why they are thinking when they become older that time they will take care for them, you are telling our wife should take care there parents",English
@ashishranjan9303,@MansiJain-gs7lx  that's why dowry is necessary. One u are living in my home and then I am earning for u . So u must do household work and give dowry.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,@mansijain-gs7lx that's why dowry is necessary. one u are living in my home and then i am earning for u . so u must do household work and give dowry.,"{
  ""themes"": [""Caste / Intersectional"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,Gender Norms & Dynamics",Negative,"Contempt, Disgust",Medium,@mansijain-gs7lx that's why dowry is necessary. one u are living in my home and then i am earning for u . so u must do household work and give dowry.,English
@rajashreebanerjee6964,"This has always been a big problem in India, not so much spoken about nor do many people know about it ",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,4,"this has always been a big problem in india, not so much spoken about nor do many people know about it","{
  ""themes"": [""Gender-Based Violence"", ""India Local Culture""],
  ""sentiment"": ""Negative""
}","Gender-Based Violence,India Local Culture",Negative,Sadness,High,"this has always been a big problem in india, not so much spoken about nor do many people know about it",English
@pint5266,its ok ...boys take dowry and make girl's father spend money for engagement and marriage ceremonies....She deserves the house after divorce.,99,https://www.youtube.com/watch?v=zOd0R4CcZqk,0,Life Lesson: Take Charge! | Made In Heaven Season 2 | Prime Video India,reply,3,its ok ...boys take dowry and make girl's father spend money for engagement and marriage ceremonies....she deserves the house after divorce.,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Contempt, Disgust",Medium,its ok ...boys take dowry and make girl's father spend money for engagement and marriage ceremonies....she deserves the house after divorce.,English
@saritha_persevered,Episodes are longer that’s why many felt overwhelmed. Representation is important and I am glad they did that with Karan and Meher characters. People liking Aadil who clearly doesn’t respect any woman he is in relationship with and cheats on them so easily shows what’s wrong with our society. I loved that  they showed women also have grey shades and not all negative or so positive with Tara’s character.,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,17,episodes are longer that’s why many felt overwhelmed. representation is important and i am glad they did that with karan and meher characters. people liking aadil who clearly doesn’t respect any woman he is in relationship with and cheats on them so easily shows what’s wrong with our society. i loved that they showed women also have grey shades and not all negative or so positive with tara’s character.,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Gender-Based Violence"",
    ""Emotional States""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Gender-Based Violence,Emotional States",Negative,"Compassion, Disgust, Pride",Medium,episodes are longer that’s why many felt overwhelmed. representation is important and i am glad they did that with karan and meher characters. people liking aadil who clearly doesn’t respect any woman he is in relationship with and cheats on them so easily shows what’s wrong with our society. i loved that they showed women also have grey shades and not all negative or so positive with tara’s character.,English
@ABC.17,Makers of the show ..literally took real life incidences that were in news few months ago…such as bride’s dad running away with groom’s mother. And a girl who married herself …these two events have happened in India recently.,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,1,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,3,makers of the show ..literally took real life incidences that were in news few months ago…such as bride’s dad running away with groom’s mother. and a girl who married herself …these two events have happened in india recently.,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Neutral""
}",India Local Culture,Neutral,No emotion,High,makers of the show ..literally took real life incidences that were in news few months ago…such as bride’s dad running away with groom’s mother. and a girl who married herself …these two events have happened in india recently.,English
